Country Name,Supply Plan Bucket Description,L5 - Product,Review Status - Inventory,Review Status - Supply Plan,DataMeasure,Scenario,Period,Value
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-02,96927.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-03,117253.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-04,116106.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-05,116106.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-06,116106.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-07,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-08,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-09,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-10,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-11,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2026-12,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-01,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-02,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-03,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-04,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-05,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-06,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-07,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-08,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-09,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-10,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-11,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2027-12,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2028-01,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2028-02,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2028-03,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2028-04,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2028-05,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Monthly Consumption,Base,2028-06,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-02,116106.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-03,116106.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-04,116106.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-05,116106.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-06,116106.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-07,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-08,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-09,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-10,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-11,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2026-12,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-01,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-02,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-03,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-04,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-05,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-06,118660.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-07,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-08,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-09,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-10,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-11,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2027-12,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2028-01,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2028-02,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2028-03,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2028-04,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2028-05,121271.0
Kenya,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Ready to Use Approved,Ready to Use Approved,Prev. Monthly Consumption,Base,2028-06,121271.0
